sqft_living,bedrooms,price,price_predict,error
1830.0,4.0,338900.0,1077006.0988440972,2.1779465885042706
2393.0,3.0,400000.0,1081607.3839546882,1.7040184598867203
2030.0,4.0,565000.0,1079847.3683916456,0.911234280339196
3220.0,4.0,880000.0,1096752.9221995578,0.24631013886313402
1010.0,3.0,350000.0,1061960.0050333918,2.0341714429525477
2010.0,3.0,550000.0,1076166.3527711332,0.9566660959475146
1560.0,3.0,270000.0,1069773.4962891494,2.9621240603301833
1120.0,3.0,549995.0,1063522.7032845432,0.9336952213830003
2960.0,4.0,469000.0,1093059.271787745,1.3306167841956182
3510.0,4.0,540000.0,1100872.7630435028,1.0386532648953757
1000.0,2.0,159995.0,1058421.0528902567,5.615338309886289
3120.0,4.0,1230000.0,1095332.2874257837,0.10948594518228971
1890.0,3.0,587206.0,1074461.5910426043,0.82978646512911
2310.0,4.0,600000.0,1083825.1457582132,0.8063752429303553
1970.0,3.0,360000.0,1075598.0988616236,1.987772496837843
2220.0,3.0,500000.0,1079149.6857960587,1.1582993715921177
1510.0,3.0,196000.0,1069063.1789022626,4.454403973991136
2220.0,4.0,785000.0,1082546.5744618163,0.37904022224435213
1210.0,2.0,437500.0,1061404.3859151823,1.426067167806131
2420.0,3.0,649950.0,1081990.955343607,0.6647295258767708
1260.0,3.0,485000.0,1065511.591967827,1.1969311174594368
2940.0,3.0,1070000.0,1089378.2561672328,0.01811051978246044
2560.0,3.0,1090000.0,1083979.844026891,0.005523078874411914
2330.0,3.0,325000.0,1080712.3840472104,2.325268873991416
1770.0,3.0,415000.0,1072756.8293140752,1.584956215214639
1480.0,3.0,635000.0,1068636.9884701301,0.6828928952285515
2240.0,4.0,335000.0,1082830.7014165714,2.2323304519897653
930.0,2.0,420000.0,1057426.608548615,1.5176824013062258
2420.0,3.0,1010000.0,1081990.955343607,0.07127817360753191
1740.0,3.0,585000.0,1072330.638881943,0.8330438271486205
1730.0,4.0,319000.0,1075585.4640703232,2.371741266678129
2430.0,4.0,645000.0,1085529.9074867421,0.682992104630608
1060.0,3.0,317000.0,1062670.3224202788,2.3522723104740657
1610.0,4.0,286950.0,1073880.702341794,2.7423965929318492
1890.0,3.0,435000.0,1074461.5910426043,1.4700266460749523
1340.0,3.0,635000.0,1066648.0997868464,0.6797607870658998
2910.0,4.0,805000.0,1092348.954400858,0.3569552228582087
1920.0,3.0,266950.0,1074887.7814747363,3.0265509701245037
1830.0,3.0,298900.0,1073609.2101783396,2.5918675482714613
3110.0,4.0,485000.0,1095190.2239484063,1.2581241730894974
790.0,2.0,436000.0,1055437.719865331,1.4207287152874564
900.0,3.0,89000.0,1060397.30678224,10.914576480699328
1660.0,4.0,282000.0,1074591.0197286813,2.8106064529385857
1390.0,3.0,292500.0,1067358.4171737335,2.649088605722166
1110.0,2.0,371000.0,1059983.7511414082,1.8570990596803456
1230.0,3.0,273000.0,1065085.401535695,2.901411727236978
3420.0,3.0,657044.0,1096197.3030813485,0.6683773127543189
1420.0,3.0,205000.0,1067784.6076058657,4.2087054029554425
1010.0,2.0,775000.0,1058563.1163676342,0.3658878920872697
2620.0,3.0,394250.0,1084832.2248911555,1.7516353199522015
730.0,1.0,395000.0,1051188.450335309,1.6612365831273643
1720.0,3.0,402000.0,1072046.5119271881,1.6667823679780802
1410.0,5.0,295832.0,1074436.3214600035,2.6319137938424633
2570.0,3.0,399950.0,1084121.9075042682,1.7106435992105717
5990.0,4.0,1530000.0,1136104.5054331017,0.2574480356646395
2260.0,3.0,418200.0,1079717.9397055684,1.5818219505154674
3290.0,4.0,783350.0,1097747.3665411999,0.40134980090789524
2770.0,5.0,1310000.0,1093756.9543833318,0.16507102718829636
1850.0,3.0,254000.0,1073893.3371330944,3.227926524146041
1520.0,3.0,362500.0,1069205.2423796398,1.949531703116248
1760.0,3.0,269950.0,1072614.7658366978,2.973383092560466
2410.0,4.0,446800.0,1085245.7805319873,1.428929678898808
3880.0,4.0,917500.0,1106129.111706467,0.20559031248661275
2790.0,5.0,288000.0,1094041.0813380866,2.7987537546461345
