160,49,547,71,547,109,160,87,
139,102,251,108,251,138,139,132,
134,139,232,144,232,168,134,163,
164,174,510,184,510,227,164,217,
531,238,571,238,571,270,531,270,
137,228,227,228,227,259,137,259,
484,276,571,276,571,308,484,308,
89,260,229,260,229,292,89,292,
107,297,233,297,233,331,107,331,
234,303,402,303,402,339,234,339,
75,336,173,336,173,372,75,372,
71,368,105,368,105,392,71,392,
68,394,144,394,144,425,68,425,
88,422,195,432,195,461,88,451,
80,454,128,454,128,481,80,481,
50,479,99,479,99,511,50,511,
45,511,93,511,93,543,45,543,
42,542,120,542,120,574,42,574,
38,572,133,572,133,620,38,620,
245,349,276,349,276,376,245,376,
237,379,263,379,263,405,237,405,
231,408,260,408,260,433,231,433,
229,437,253,437,253,463,229,463,
230,468,248,468,248,492,230,492,
222,496,249,496,249,521,222,521,
217,526,243,526,243,554,217,554,
210,557,240,557,240,585,210,585,
281,353,329,353,329,378,281,378,
272,379,328,379,328,408,272,408,
278,411,318,411,318,435,278,435,
278,441,313,441,313,465,278,465,
274,470,308,470,308,495,274,495,
270,501,307,501,307,527,270,527,
263,530,308,530,308,559,263,559,
377,357,418,357,418,382,377,382,
351,385,415,385,415,413,351,413,
335,415,411,415,411,441,335,441,
336,443,410,443,410,471,336,471,
332,474,407,474,407,503,332,503,
328,505,405,505,405,532,328,532,
324,536,401,536,401,566,324,566,
503,362,568,362,568,389,503,389,
482,388,565,388,565,418,482,418,
465,418,564,418,564,448,465,448,
473,450,564,450,564,479,473,479,
450,479,563,479,563,511,450,511,
464,512,562,512,562,541,464,541,
460,545,561,545,561,571,460,571,
355,599,554,599,554,647,355,647,
58,679,504,717,504,759,58,721,
