155,57,329,57,329,84,155,84,
491,63,739,59,739,92,491,96,
826,89,984,89,984,116,826,116,
170,93,312,93,312,128,170,128,
566,97,665,97,665,131,566,131,
828,123,1043,123,1043,155,828,155,
694,151,720,151,720,174,694,174,
140,137,340,136,340,156,140,157,
98,179,381,179,381,198,98,198,
132,198,346,198,346,218,132,218,
446,182,791,177,791,201,446,206,
521,207,717,203,717,224,521,228,
491,230,749,224,749,248,491,254,
885,197,992,198,992,224,885,223,
833,237,959,235,959,260,833,262,
68,287,754,281,754,313,68,319,
81,340,107,340,107,367,81,367,
78,372,108,372,108,392,78,392,
144,330,372,327,372,351,144,354,
167,356,346,353,346,378,167,381,
221,379,291,378,291,402,221,403,
424,343,490,343,490,364,424,364,
435,365,480,365,480,385,435,385,
549,338,572,338,572,361,549,361,
530,367,592,367,592,388,530,388,
614,354,690,353,690,372,614,373,
734,338,795,338,795,357,734,357,
745,358,788,358,788,381,745,381,
83,415,101,415,101,436,83,436,
80,443,98,443,98,466,80,466,
80,472,98,472,98,497,80,497,
79,505,98,505,98,528,79,528,
78,535,96,535,96,559,78,559,
77,566,96,566,96,590,77,590,
75,630,95,630,95,651,75,651,
75,661,93,661,93,686,75,686,
69,691,99,691,99,717,69,717,
71,726,93,726,93,749,71,749,
68,759,95,759,95,784,68,784,
129,411,288,411,288,438,129,438,
440,408,477,408,477,432,440,432,
544,411,580,411,580,431,544,431,
624,410,684,410,684,429,624,429,
737,408,798,408,798,427,737,427,
129,443,292,443,292,465,129,465,
409,439,508,439,508,461,409,461,
550,439,574,439,574,460,550,460,
623,439,685,439,685,458,623,458,
734,437,805,437,805,457,734,457,
129,474,322,471,322,496,129,499,
445,472,471,472,471,492,445,492,
545,471,581,471,581,491,545,491,
621,469,691,469,691,489,621,489,
734,467,807,467,807,487,734,487,
128,507,332,501,332,524,128,530,
432,500,484,498,484,521,432,523,
545,501,581,501,581,520,545,520,
620,500,692,500,692,520,620,520,
735,498,808,498,808,518,735,518,
127,538,338,532,338,555,127,561,
441,530,478,530,478,554,441,554,
545,531,584,531,584,553,545,553,
622,529,693,529,693,549,622,549,
736,528,809,528,809,549,736,549,
126,570,257,567,257,588,126,591,
410,563,508,559,508,581,410,585,
547,562,581,562,581,582,547,582,
622,561,694,561,694,580,622,580,
738,560,811,560,811,579,738,579,
125,599,265,597,265,619,125,621,
124,633,335,627,335,648,124,654,
124,664,252,660,252,684,124,688,
206,797,294,793,294,821,206,825,
447,593,473,593,473,613,447,613,
433,622,485,621,485,644,433,645,
442,655,478,655,478,676,442,676,
546,592,584,592,584,612,546,612,
547,622,584,622,584,643,547,643,
548,654,585,654,585,674,548,674,
629,590,689,590,689,611,629,611,
739,589,813,589,813,610,739,610,
620,621,703,621,703,641,620,641,
742,620,814,620,814,639,742,639,
625,653,697,653,697,673,625,673,
743,651,816,651,816,672,743,672,
743,788,831,788,831,809,743,809,
47,895,905,879,905,917,47,933,
570,985,947,982,947,1019,570,1022,
82,1043,278,1043,278,1074,82,1074,
632,1034,823,1032,823,1062,632,1064,
639,1069,816,1066,816,1094,639,1097,
