79,135,484,83,484,131,79,183,
65,214,168,203,168,229,65,240,
67,262,154,257,154,277,67,282,
104,309,445,290,445,330,104,349,
480,358,517,358,517,381,480,381,
84,382,163,380,163,401,84,403,
427,419,514,419,514,438,427,438,
47,430,166,424,166,448,47,454,
68,473,339,473,339,499,68,499,
48,530,130,530,130,555,48,555,
202,531,224,531,224,551,202,551,
235,532,274,532,274,551,235,551,
328,530,359,530,359,552,328,552,
450,529,513,529,513,554,450,554,
47,565,71,565,71,585,47,585,
200,566,213,566,213,587,200,587,
230,566,275,566,275,589,230,589,
307,568,359,568,359,590,307,590,
434,570,513,570,513,592,434,592,
47,598,109,598,109,621,47,621,
199,604,212,604,212,623,199,623,
239,603,268,603,268,623,239,623,
296,604,359,604,359,626,296,626,
421,607,512,607,512,631,421,631,
68,633,161,633,161,656,68,656,
198,638,212,638,212,658,198,658,
240,638,266,638,266,659,240,659,
294,640,361,640,361,662,294,662,
426,645,512,645,512,670,426,670,
66,665,103,665,103,689,66,689,
198,675,212,675,212,694,198,694,
240,674,267,674,267,695,240,695,
294,677,359,677,359,700,294,700,
408,680,511,685,511,710,408,705,
46,698,81,703,81,725,46,720,
194,709,216,709,216,728,194,728,
238,710,268,710,268,731,238,731,
296,713,360,716,360,736,296,733,
423,718,511,725,511,747,423,740,
44,736,82,736,82,756,44,756,
195,745,216,745,216,764,195,764,
236,746,272,746,272,767,236,767,
293,749,360,749,360,773,293,773,
421,756,512,762,512,785,421,779,
45,766,110,773,110,797,45,790,
193,779,215,782,215,800,193,797,
45,795,124,803,124,845,45,837,
329,822,508,836,508,871,329,857,
76,912,468,951,468,986,76,947,
